n|id|nom_cognoms|tipus_document|document_id|nivell|grup_codi|data_sessio_avaluacio|numero_avaluacio|codi_ensenyament|nom_ensenyament|m1|q1|c1|m2|q2|c2|m3|q3|c3|m4|q4|c4|m5|q5|c5|m6|q6|c6|m7|q7|c7|m8|q8|c8|comentari general
1|9001001|Aina Rovira Ferrer|DNI|DUMMY0001|4|ESO LOEM403|2026-03-11|2|ESO LOEM|ESO LOE Modificada|Llengua Catalana i Literatura 4t|Assoliment excel-lent|Participacio correcta i progressio regular.|Llengua Castellana i Literatura 4t|Assoliment notable|Mostra comprensio adequada dels continguts.|Llengua Estrangera: Angles 4t|Assoliment notable|Cal reforcar practica oral setmanal.|Matematiques 4t|Assoliment notable|Bona resolucio d'exercicis amb certa autonomia.|Ciencies Socials: Geografia i Historia 4t|Assoliment excel-lent|Interes constant i bona actitud.|Educacio Fisica 4t|Assoliment notable|Participa de forma adequada a les sessions.|Digitalitzacio 4t|Assoliment notable|Completa activitats amb qualitat acceptable.|Projecte en hores de gestio autonoma I 4t|No assoliment|Segueix les pautes de treball.|Evolucio positiva en general. Es recomana mantenir constancia i organitzacio.
2|9001002|Marc Vidal Serra|DNI|DUMMY0002|4|ESO LOEM403|2026-03-11|2|ESO LOEM|ESO LOE Modificada|Llengua Catalana i Literatura 4t|Assoliment satisfactori|Bona expressio escrita en tasques guiades.|Llengua Castellana i Literatura 4t|Assoliment satisfactori|Resultats estables durant el trimestre.|Llengua Estrangera: Angles 4t|No assoliment|Necessita millorar base gramatical.|Matematiques 4t|No assoliment|Progressa amb suport i practica.|Ciencies Socials: Geografia i Historia 4t|Assoliment satisfactori|Participacio irregular pero correcta.|Educacio Fisica 4t|Assoliment notable|Bona implicacio en treball cooperatiu.|Digitalitzacio 4t|No assoliment|Compleix minims de lliurament.|Projecte en hores de gestio autonoma I 4t|Assoliment satisfactori|Cal revisar amb mes cura les entregues.|Rendiment ajustat. Prioritzar habits d'estudi i seguiment de tasques.
3|9001003|Laia Pujol Costa|DNI|DUMMY0003|4|ESO LOEM403|2026-03-11|2|ESO LOEM|ESO LOE Modificada|Llengua Catalana i Literatura 4t|Assoliment excel-lent|Treball molt complet i ben estructurat.|Llengua Castellana i Literatura 4t|Assoliment excel-lent|Bon domini dels continguts del bloc.|Llengua Estrangera: Angles 4t|Assoliment notable|Millora clara en comprensio lectora.|Matematiques 4t|Assoliment excel-lent|Resolucio precisa i autonomia elevada.|Ciencies Socials: Geografia i Historia 4t|Assoliment excel-lent|Participa activament i argumenta be.|Educacio Fisica 4t|Assoliment notable|Compromis i bon treball en equip.|Digitalitzacio 4t|Assoliment excel-lent|Entrega treballs de qualitat alta.|Projecte en hores de gestio autonoma I 4t|Assoliment excel-lent|Organitzacio i iniciativa destacables.|Resultats alts i actitud molt positiva. Mantenir aquesta linia de treball.
4|9001004|Nil Casas Prat|DNI|DUMMY0004|4|ESO LOEM403|2026-03-11|2|ESO LOEM|ESO LOE Modificada|Llengua Catalana i Literatura 4t|No assoliment|Presenta dificultats en redaccio basica.|Llengua Castellana i Literatura 4t|Assoliment satisfactori|Mostra millora respecte a inici de curs.|Llengua Estrangera: Angles 4t|No assoliment|Cal reforc en vocabulari funcional.|Matematiques 4t|No assoliment|Necessita practica diari de calcul i problemes.|Ciencies Socials: Geografia i Historia 4t|No assoliment|Compleix activitats essencials.|Educacio Fisica 4t|Assoliment satisfactori|Participa de forma regular.|Digitalitzacio 4t|Assoliment satisfactori|Completa activitats amb suport.|Projecte en hores de gestio autonoma I 4t|No assoliment|Treball just pero validat.|Cal pla de reforc i seguiment setmanal per consolidar aprenentatges.
5|9001005|Jana Soler Rius|DNI|DUMMY0005|4|ESO LOEM403|2026-03-11|2|ESO LOEM|ESO LOE Modificada|Llengua Catalana i Literatura 4t|Assoliment notable|Ritme de treball correcte.|Llengua Castellana i Literatura 4t|Assoliment notable|Assoliment de minims curriculars.|Llengua Estrangera: Angles 4t|Assoliment notable|Mostra bona progressio oral.|Matematiques 4t|No assoliment|Treballa amb constancia creixent.|Ciencies Socials: Geografia i Historia 4t|Assoliment notable|Interes i participacio adequats.|Educacio Fisica 4t|Assoliment excel-lent|Actitud responsable en activitats practiques.|Digitalitzacio 4t|Assoliment notable|Bones entregues i ordre digital.|Projecte en hores de gestio autonoma I 4t|No assoliment|Compliment correcte de les tasques.|Rendiment bo amb marge de millora en autonomia.
6|9001006|Pol Navarro Gil|PASS|DUMMY0006|4|ESO LOEM403|2026-03-11|2|ESO LOEM|ESO LOE Modificada|Llengua Catalana i Literatura 4t|Assoliment notable|Treball consistent en activitats de classe.|Llengua Castellana i Literatura 4t|Assoliment excel-lent|Compren i aplica continguts clau.|Llengua Estrangera: Angles 4t|No assoliment|Resultat correcte amb suport puntual.|Matematiques 4t|No assoliment|Necessita mes seguretat en problemes llargs.|Ciencies Socials: Geografia i Historia 4t|Assoliment excel-lent|Intervencions de qualitat i bona sintesi.|Educacio Fisica 4t|Assoliment notable|Participacio activa i respectuosa.|Digitalitzacio 4t|Assoliment excel-lent|Molt bona execucio de projectes.|Projecte en hores de gestio autonoma I 4t|Assoliment notable|Compleix terminis amb regularitat.|Bon trimestre amb progressio sostinguda.
7|9001007|Ona Mateu Valls|DNI|DUMMY0007|4|ESO LOEM403|2026-03-11|2|ESO LOEM|ESO LOE Modificada|Llengua Catalana i Literatura 4t|Assoliment excel-lent|Produccions escrites molt acurades.|Llengua Castellana i Literatura 4t|Assoliment excel-lent|Gran qualitat en activitats d'analisi.|Llengua Estrangera: Angles 4t|Assoliment excel-lent|Fluidesa i bona comprensio global.|Matematiques 4t|Assoliment excel-lent|Resultats molt alts i constants.|Ciencies Socials: Geografia i Historia 4t|Assoliment excel-lent|Mostra domini dels continguts.|Educacio Fisica 4t|Assoliment notable|Participa i ajuda al grup.|Digitalitzacio 4t|Assoliment excel-lent|Treballs creatius i ben estructurats.|Projecte en hores de gestio autonoma I 4t|Assoliment excel-lent|Autonomia i iniciativa destacades.|Excel-lent rendiment global i actitud exemplar.
8|9001008|Eric Duran Mas|DNI|DUMMY0008|4|ESO LOEM403|2026-03-11|2|ESO LOEM|ESO LOE Modificada|Llengua Catalana i Literatura 4t|Assoliment satisfactori|Progressio moderada en expressio.|Llengua Castellana i Literatura 4t|No assoliment|Cal reforcar comprensio de textos.|Llengua Estrangera: Angles 4t|No assoliment|Resposta adequada en activitats basiques.|Matematiques 4t|Assoliment satisfactori|Resultats irregulars segons tipologia.|Ciencies Socials: Geografia i Historia 4t|No assoliment|Interes i millora continuada.|Educacio Fisica 4t|Assoliment notable|Bon seguiment de les sessions.|Digitalitzacio 4t|No assoliment|Treball correcte amb guia.|Projecte en hores de gestio autonoma I 4t|Assoliment satisfactori|Cal constancia en lliuraments.|Mantenir seguiment de reforc en llengues.
9|9001009|Berta Grau Bosch|DNI|DUMMY0009|4|ESO LOEM403|2026-03-11|2|ESO LOEM|ESO LOE Modificada|Llengua Catalana i Literatura 4t|Assoliment notable|Bona progressio en redaccio.|Llengua Castellana i Literatura 4t|Assoliment notable|Consolida continguts troncals.|Llengua Estrangera: Angles 4t|Assoliment notable|Bon treball d'expressio oral.|Matematiques 4t|No assoliment|Competencia matematica adequada.|Ciencies Socials: Geografia i Historia 4t|Assoliment excel-lent|Participacio regular i responsable.|Educacio Fisica 4t|Assoliment excel-lent|Rendiment practic destacat.|Digitalitzacio 4t|Assoliment excel-lent|Molt bona qualitat de lliuraments.|Projecte en hores de gestio autonoma I 4t|Assoliment notable|Bon compliment de tasques.|Bon nivell global i actitud constructiva.
10|9001010|Hugo Font Llop|DNI|DUMMY0010|4|ESO LOEM403|2026-03-11|2|ESO LOEM|ESO LOE Modificada|Llengua Catalana i Literatura 4t|No assoliment|Treball correcte amb suport docent.|Llengua Castellana i Literatura 4t|No assoliment|Assoleix objectius basics del trimestre.|Llengua Estrangera: Angles 4t|Assoliment satisfactori|Ha millorat en tasques orals.|Matematiques 4t|Assoliment satisfactori|Cal millorar regularitat en practica.|Ciencies Socials: Geografia i Historia 4t|No assoliment|Progressa de forma gradual.|Educacio Fisica 4t|No assoliment|Participacio adequada i respectuosa.|Digitalitzacio 4t|Assoliment notable|Bon seguiment dels projectes.|Projecte en hores de gestio autonoma I 4t|Assoliment satisfactori|Treball validat amb marge de millora.|Continuar reforcant habits d'estudi i autonomia.
