n|id|nom_cognoms|tipus_document|document_id|nivell|grup_codi|data_sessio_avaluacio|numero_avaluacio|codi_ensenyament|nom_ensenyament|m1|q1|c1|m2|q2|c2|m3|q3|c3|m4|q4|c4|m5|q5|c5|m6|q6|c6|m7|q7|c7|m8|q8|c8|comentari general
1|9001001|Aina Rovira Ferrer|DNI|DUMMY0001|4|ESO LOEM403|2026-03-11|1|ESO LOEM|ESO LOE Modificada|Llengua Catalana i Literatura 4t|Assoliment notable|Mostra una evolucio estable amb marge de millora.|Llengua Castellana i Literatura 4t|No assoliment|Ha millorat de manera sostinguda durant el periode.|Llengua Estrangera: Angles 4t|Assoliment notable|Participa amb regularitat i segueix les orientacions.|Matematiques 4t|Assoliment satisfactori|Cal consolidar alguns continguts essencials.|Ciencies Socials: Geografia i Historia 4t|Assoliment excel-lent|Treballa amb bona actitud i compleix terminis.|Educacio Fisica 4t|Assoliment notable|Mostra una evolucio estable amb marge de millora.|Digitalitzacio 4t|Assoliment satisfactori|Ha millorat de manera sostinguda durant el periode.|Projecte en hores de gestio autonoma I 4t|No assoliment|Participa amb regularitat i segueix les orientacions.|Resultats inicials favorables. Continuar reforcant autonomia.
2|9001002|Marc Vidal Serra|DNI|DUMMY0002|4|ESO LOEM403|2026-03-11|1|ESO LOEM|ESO LOE Modificada|Llengua Catalana i Literatura 4t|Assoliment satisfactori|Participa amb regularitat i segueix les orientacions.|Llengua Castellana i Literatura 4t|No assoliment|Cal consolidar alguns continguts essencials.|Llengua Estrangera: Angles 4t|No assoliment|Treballa amb bona actitud i compleix terminis.|Matematiques 4t|No assoliment|Mostra una evolucio estable amb marge de millora.|Ciencies Socials: Geografia i Historia 4t|Assoliment satisfactori|Ha millorat de manera sostinguda durant el periode.|Educacio Fisica 4t|Assoliment notable|Participa amb regularitat i segueix les orientacions.|Digitalitzacio 4t|No assoliment|Cal consolidar alguns continguts essencials.|Projecte en hores de gestio autonoma I 4t|Assoliment satisfactori|Treballa amb bona actitud i compleix terminis.|Primer seguiment amb objectius assolits de manera parcial.
3|9001003|Laia Pujol Costa|DNI|DUMMY0003|4|ESO LOEM403|2026-03-11|1|ESO LOEM|ESO LOE Modificada|Llengua Catalana i Literatura 4t|Assoliment excel-lent|Treballa amb bona actitud i compleix terminis.|Llengua Castellana i Literatura 4t|Assoliment notable|Mostra una evolucio estable amb marge de millora.|Llengua Estrangera: Angles 4t|Assoliment excel-lent|Ha millorat de manera sostinguda durant el periode.|Matematiques 4t|Assoliment excel-lent|Participa amb regularitat i segueix les orientacions.|Ciencies Socials: Geografia i Historia 4t|Assoliment notable|Cal consolidar alguns continguts essencials.|Educacio Fisica 4t|No assoliment|Treballa amb bona actitud i compleix terminis.|Digitalitzacio 4t|Assoliment excel-lent|Mostra una evolucio estable amb marge de millora.|Projecte en hores de gestio autonoma I 4t|Assoliment notable|Ha millorat de manera sostinguda durant el periode.|Avaluacio 1 amb marge de millora en constancia i estudi diari.
4|9001004|Nil Casas Prat|DNI|DUMMY0004|4|ESO LOEM403|2026-03-11|1|ESO LOEM|ESO LOE Modificada|Llengua Catalana i Literatura 4t|No assoliment|Ha millorat de manera sostinguda durant el periode.|Llengua Castellana i Literatura 4t|No assoliment|Participa amb regularitat i segueix les orientacions.|Llengua Estrangera: Angles 4t|No assoliment|Cal consolidar alguns continguts essencials.|Matematiques 4t|No assoliment|Treballa amb bona actitud i compleix terminis.|Ciencies Socials: Geografia i Historia 4t|No assoliment|Mostra una evolucio estable amb marge de millora.|Educacio Fisica 4t|Assoliment satisfactori|Ha millorat de manera sostinguda durant el periode.|Digitalitzacio 4t|Assoliment satisfactori|Participa amb regularitat i segueix les orientacions.|Projecte en hores de gestio autonoma I 4t|No assoliment|Cal consolidar alguns continguts essencials.|Avaluacio inicial correcta. Es recomana mantenir ritme i organitzacio.
5|9001005|Jana Soler Rius|DNI|DUMMY0005|4|ESO LOEM403|2026-03-11|1|ESO LOEM|ESO LOE Modificada|Llengua Catalana i Literatura 4t|Assoliment satisfactori|Cal consolidar alguns continguts essencials.|Llengua Castellana i Literatura 4t|Assoliment notable|Treballa amb bona actitud i compleix terminis.|Llengua Estrangera: Angles 4t|No assoliment|Mostra una evolucio estable amb marge de millora.|Matematiques 4t|No assoliment|Ha millorat de manera sostinguda durant el periode.|Ciencies Socials: Geografia i Historia 4t|Assoliment notable|Participa amb regularitat i segueix les orientacions.|Educacio Fisica 4t|Assoliment notable|Cal consolidar alguns continguts essencials.|Digitalitzacio 4t|No assoliment|Treballa amb bona actitud i compleix terminis.|Projecte en hores de gestio autonoma I 4t|Assoliment notable|Mostra una evolucio estable amb marge de millora.|Bon inici de curs, amb progressio gradual i actitud positiva.
6|9001006|Pol Navarro Gil|PASS|DUMMY0006|4|ESO LOEM403|2026-03-11|1|ESO LOEM|ESO LOE Modificada|Llengua Catalana i Literatura 4t|Assoliment notable|Mostra una evolucio estable amb marge de millora.|Llengua Castellana i Literatura 4t|No assoliment|Ha millorat de manera sostinguda durant el periode.|Llengua Estrangera: Angles 4t|No assoliment|Participa amb regularitat i segueix les orientacions.|Matematiques 4t|No assoliment|Cal consolidar alguns continguts essencials.|Ciencies Socials: Geografia i Historia 4t|Assoliment notable|Treballa amb bona actitud i compleix terminis.|Educacio Fisica 4t|Assoliment excel-lent|Mostra una evolucio estable amb marge de millora.|Digitalitzacio 4t|Assoliment notable|Ha millorat de manera sostinguda durant el periode.|Projecte en hores de gestio autonoma I 4t|No assoliment|Participa amb regularitat i segueix les orientacions.|Resultats inicials favorables. Continuar reforcant autonomia.
7|9001007|Ona Mateu Valls|DNI|DUMMY0007|4|ESO LOEM403|2026-03-11|1|ESO LOEM|ESO LOE Modificada|Llengua Catalana i Literatura 4t|Assoliment excel-lent|Participa amb regularitat i segueix les orientacions.|Llengua Castellana i Literatura 4t|Assoliment excel-lent|Cal consolidar alguns continguts essencials.|Llengua Estrangera: Angles 4t|Assoliment notable|Treballa amb bona actitud i compleix terminis.|Matematiques 4t|Assoliment excel-lent|Mostra una evolucio estable amb marge de millora.|Ciencies Socials: Geografia i Historia 4t|Assoliment notable|Ha millorat de manera sostinguda durant el periode.|Educacio Fisica 4t|Assoliment notable|Participa amb regularitat i segueix les orientacions.|Digitalitzacio 4t|Assoliment excel-lent|Cal consolidar alguns continguts essencials.|Projecte en hores de gestio autonoma I 4t|Assoliment excel-lent|Treballa amb bona actitud i compleix terminis.|Primer seguiment amb objectius assolits de manera parcial.
8|9001008|Eric Duran Mas|DNI|DUMMY0008|4|ESO LOEM403|2026-03-11|1|ESO LOEM|ESO LOE Modificada|Llengua Catalana i Literatura 4t|Assoliment satisfactori|Treballa amb bona actitud i compleix terminis.|Llengua Castellana i Literatura 4t|No assoliment|Mostra una evolucio estable amb marge de millora.|Llengua Estrangera: Angles 4t|No assoliment|Ha millorat de manera sostinguda durant el periode.|Matematiques 4t|Assoliment satisfactori|Participa amb regularitat i segueix les orientacions.|Ciencies Socials: Geografia i Historia 4t|No assoliment|Cal consolidar alguns continguts essencials.|Educacio Fisica 4t|No assoliment|Treballa amb bona actitud i compleix terminis.|Digitalitzacio 4t|No assoliment|Mostra una evolucio estable amb marge de millora.|Projecte en hores de gestio autonoma I 4t|Assoliment satisfactori|Ha millorat de manera sostinguda durant el periode.|Avaluacio 1 amb marge de millora en constancia i estudi diari.
9|9001009|Berta Grau Bosch|DNI|DUMMY0009|4|ESO LOEM403|2026-03-11|1|ESO LOEM|ESO LOE Modificada|Llengua Catalana i Literatura 4t|Assoliment notable|Ha millorat de manera sostinguda durant el periode.|Llengua Castellana i Literatura 4t|Assoliment notable|Participa amb regularitat i segueix les orientacions.|Llengua Estrangera: Angles 4t|Assoliment notable|Cal consolidar alguns continguts essencials.|Matematiques 4t|No assoliment|Treballa amb bona actitud i compleix terminis.|Ciencies Socials: Geografia i Historia 4t|Assoliment excel-lent|Mostra una evolucio estable amb marge de millora.|Educacio Fisica 4t|Assoliment notable|Ha millorat de manera sostinguda durant el periode.|Digitalitzacio 4t|Assoliment excel-lent|Participa amb regularitat i segueix les orientacions.|Projecte en hores de gestio autonoma I 4t|No assoliment|Cal consolidar alguns continguts essencials.|Avaluacio inicial correcta. Es recomana mantenir ritme i organitzacio.
10|9001010|Hugo Font Llop|DNI|DUMMY0010|4|ESO LOEM403|2026-03-11|1|ESO LOEM|ESO LOE Modificada|Llengua Catalana i Literatura 4t|No assoliment|Cal consolidar alguns continguts essencials.|Llengua Castellana i Literatura 4t|No assoliment|Treballa amb bona actitud i compleix terminis.|Llengua Estrangera: Angles 4t|Assoliment satisfactori|Mostra una evolucio estable amb marge de millora.|Matematiques 4t|No assoliment|Ha millorat de manera sostinguda durant el periode.|Ciencies Socials: Geografia i Historia 4t|No assoliment|Participa amb regularitat i segueix les orientacions.|Educacio Fisica 4t|No assoliment|Cal consolidar alguns continguts essencials.|Digitalitzacio 4t|Assoliment notable|Treballa amb bona actitud i compleix terminis.|Projecte en hores de gestio autonoma I 4t|Assoliment satisfactori|Mostra una evolucio estable amb marge de millora.|Bon inici de curs, amb progressio gradual i actitud positiva.
